simetride	Simetrid
lymphopenia	Lymphopenie
behavioural objective	Verhaltensziel
cryomedicine	Kryomedizin
nevirapine	Nevirapin
panoramic dental X-ray system	Panoramix
nafcaproic acid	Nafcaproesäure
Ammon's operation	Ammon-Operation
head of rip	Capitulum costae|Caput costae|Rippenkoepfchen|Rippenkopf
caput costae	Capitulum costae|Caput costae|Rippenkoepfchen|Rippenkopf
volazocine	Volazocin
health determinant	gesundheitsrelevanter Faktor|Gesundheitsfaktor
colon	Grimmdarm|Colon
motivation	Motivation
extracorporeal circulation console	Herz-Lungenmaschine
blood culture	Blutkultur
hours of work	Arbeitszeit
PET scan of brain	mittels PET gewonnene Aufnahme von dem Gehirn
over-expressing strain	überexprimierte Linie
RBP	RBP|retinolbindendes Protein
Retinol Binding Protein	RBP|retinolbindendes Protein
tissue equivalent material	gewebeäquivalentes Material
test for gene mutations in bacteria	Test für Genmutationen in Bakterien
flamenol	Flamenol
induced aberration of the chromatid type	Aberration vom Chromatid-Typ
miosis	Miosis|Pupillenverengung
cifostodine	Cifostodin
South African Narcotics Bureau	Sanab
Sanab	Sanab
hospital extern service	extramurale Krankenhausdienste
open thorax biopsy	offene Thoraxbiopsie
support-furnishing safety belt	Haltegurt
lineman's belt	Haltegurt
window cleaner's belt	Haltegurt
crossing ability	Kreuzungseignung
cross ability	Kreuzungseignung
thumb	Daumen
autolysate	Autolysat
availability of drug	Erlangbarkeit der Droge
apraxia	Bewegungsstörung|Apraxie
depramine	Depramin
Yersinia infection	Yersiniose
yersiniosis	Yersiniose
therapeutic laser	Therapielaser
sternocostal joints	Brustbein-Rippengelenke|Articuli sternocostales|Sternokostalgelenke|Articulationes sternocostales
International Standard Randomised Controlled Trial Number	Internationale Standardnummer für kontrollierte klinische Studien
electrocution with cardiac arrest	Tötung durch elektrischen Strom mit Herzstillstand
colonization	Kolonisation
receptors in the brain	Hirnrezeptoren
skin scraping	Abkratzen der Hautschuppen
metanixin	Metanixin
pegylated	pegyliert
health warning	Gesundheitswarnung
stationary sampling	stationäre Probenahme
melizame	Melizam
mass selection	Massenauslese|Massenselektion
reflex-arc	Reflexbogen
reflex-arc	Reflexbogen
Turkish towelling nappy	Mullwindel
Turkish toweling nappy	Mullwindel
somatic mutation theory	Theorie der genetischen Fehlsteuerung
broth	Bouillon
literal agraphia	literale Agraphie
International Day of Zero Tolerance of Female Genital Mutilation	"Internationaler Tag ""Null Toleranz gegenüber weiblicher Genitalverstümmelung""|Welttag gegen weibliche Genitalverstümmelung"
International Day Of Zero Tolerance for Female Genital Mutilation	"Internationaler Tag ""Null Toleranz gegenüber weiblicher Genitalverstümmelung""|Welttag gegen weibliche Genitalverstümmelung"
International Day against Female Genital Mutilation	"Internationaler Tag ""Null Toleranz gegenüber weiblicher Genitalverstümmelung""|Welttag gegen weibliche Genitalverstümmelung"
major health scourges	weitverbreitete schwerwiegende Krankheiten
famotine	Famotin
racemetirosine	Racemetirosin
separate air inlet	Belüftungsteil
public exposure	Exposition der Bevölkerung
approved diagnostic laboratory	zugelassenes Laboratorium
Essay on the Shaking Palsy	Abhandlung über die Schüttellähmung
nightmare	Angsttraum
selective toxicity	selektive Toxizität|selektive Giftigkeit
zanoterone	Zanoteron
soil bacteria	Bodenbakterien
single breath method of nitrogen washout	Atemstosstest mit Stickstoff
delanterone	Delanteron
threshold shift	Schwellenverschlechterung
supercilium	Überaugenstreif
medico-sanitary inspection	gesundheitsrechtliche Kontrolle
allergic conjunctivitis	allergische Konjunktivitis
chlortetracycline	Chlortetracyclin
constitutive mutation	konstitutive Mutation
data exclusivity	Unterlagenschutz
adaptation	Adaptatio|Adaptation|Anpassung
piroxicillin	Piroxicillin
adiadochokinesia	Adiadochokinese
adiadochokinesis	Adiadochokinese
DDC	Deckdekompressionskammer|Druckkammer an Bord
DCC	Deckdekompressionskammer|Druckkammer an Bord
deck decompression chamber	Deckdekompressionskammer|Druckkammer an Bord
deck compression chamber	Deckdekompressionskammer|Druckkammer an Bord
corporectomy	Korporektomie
spondylectomy	Korporektomie
antecedent	Vorgeschichte
hazard	Unfallgefahr
slow virus	Slow-Virus
tianafac	Tianafac
anoxic damage	Trauma|Schaden
chlorozotocin	Chlorozotocin
immunomodulatory	immunmodulatorisch
non-participation bias	Verzerrung durch Nicht-Teilnahme
blood serum	Blutwasser
mianserin	Mianserin
backscatter factor	Rückstreufaktor
active metabolite	aktiver Metabolit
levomenol	Levomenol
pasiniazid	Pasiniazid
psychodrama	Psychodrama
field of vision	Gesichtsfeld|Sehfeld
visual field	Gesichtsfeld|Sehfeld
amniotic suture	Amnionnaht
scaler for treating dental tartar	Zahnsteinschaber
clustering	Anhäufung
prostalene	Prostalen
pro-drug	Pro-Arzneimittel
Dalibour's solution	Dalibour
dental impression	Zahnabdruck
muscular insertion	Muskelansatz
medazomide	Medazomid
occupational carcinogen	Berufskarzinogen|Gewebekarzinogen
bibliotherapist	Bibliotherapeut
raw opium	Rohopium
non-specific	unspezifisch
cholecalciferol	Cholekalziferol
vitamin D3	Cholekalziferol
sterile catgut	steriles Katgut
bile extract	Gallenauszug
copper chloride	Kupferchlorid
international toxic equivalent	internationales Toxizitätsäquivalent|I-TEQ
I-TEQ	internationales Toxizitätsäquivalent|I-TEQ
blood-contacting surface	blutkontaktierende Oberfläche
aminoacridine	Aminoacridin
cross-reactive epitope	kreuzreagierendes Epitop
skin melanoma	Melanom der Haut
hospital planning	Krankenhausbedarfsplanung
psychogalvanic skin resistance	psychogalvanischer Hautwiderstand
calcium channel	Calciumkanal
sameridine	Sameridin
acting on the vessel wall	Einwirkung auf die Gefäßwände
unexpected, non-serious, suspected adverse reactions	unerwartete vermutete nicht schwerwiegende Nebenwirkungen
etybenzatropine	Etybenzatropin
sweat	Sudor|Schweiß
alizapride	Alizaprid
incompatibility	Inkompatibilität
food-borne intoxication	lebensmittelbedingte Vergiftung
self-contained X-ray generator	Einkessel-Röntgen-Generator
glutethimide	Glutethimid
lactic fermentation	Milchsäuregärung
neuroendocrinology	Neuroendokrinologie
transcribe, to	transkribieren|umschreiben
racecadotril	Racecadotril
viability	Lebensfähigkeit
undifferentiated cell	undifferenzierte Zelle
organ replacement material	Werkstoff für den Organersatz
Diamond umbilical vein method	direkte Nabelvenenmethode|Diamond Nabelvenenmethode
intradermal injection	intrakutane Injektion|intradermale Injektion
intracutaneous injection	intrakutane Injektion|intradermale Injektion
oxidation-reduction	Oxidoreduktion
polar body	Polkörper
condyle	Kondylus|Condylus
racemethorphan	Racemethorphanum
European Agreement on Mutual Assistance in the matter of Special Medical Treatments and Climatic Facilities	Europäisches Übereinkommen über gegenseitige Hilfe auf dem Gebiet der medizinischen Spezialbehandlungen und der klimatischen Einrichtungen
meclocycline	Meclocyclin
procatartic cause	prädisponierende Verhaltensweisen
mopidamol	Mopidamol
primary cell culture	primäre Zellkultur|Primarkultur
procaterol	Procaterol
salting-in of proteins	Einsalzung der Proteine
trigger zone	Feuerungszone
Community health	gemeindeorientierte Gesundheitssicherung
aquatic toxicity	aquatische Toxizität
lobeline	Lobelin
psychomotor retardation	psychomotorische Wachstumsretardierung
blood lead level	Bleigehalt im Blut
mirfentanil	Mirfentanil
bacterial overgrowth	Bakterienwucherung
mafenide	Mafenid
reprotoxin	reproduktionstoxischer Stoff
reprotoxic substance	reproduktionstoxischer Stoff
tolfenamic acid	Tolfenaminsäure
pyrophendane	Pyrophendan
diphenan	Diphenan
napamezole	Napamezol
Net reproduction rate	Nettoreproduktionsrate
ivarimod	Ivarimod
multiple neurofibromatosis	Von-Recklinghausen-Krankheit|Neurofibromatose
NF-1	Von-Recklinghausen-Krankheit|Neurofibromatose
von Recklinghausen's disease	Von-Recklinghausen-Krankheit|Neurofibromatose
neurofibromatosis	Von-Recklinghausen-Krankheit|Neurofibromatose
neurofibromatosis type 1	Von-Recklinghausen-Krankheit|Neurofibromatose
cirrhosis	Zirrhose
low-sodium diet	Kochsalzantikörper
agar slant	Schrägagar|Schräg-Agar
artificial leech	kuenstlicher Blutegel|Schroepfkopf
code cost	Codierungskosten
interference pattern	Interferenzmuster
diencephalon	Dienkephalon|Zwischenhirn|Dienzephalon
lifting of incompatibility barrier	Aufhebung der Unverträglichkeitsbarriere
inactivity	Inaktivität|Trägheit
inertia	Inaktivität|Trägheit
gadodiamide	Gadodiamid
dorsal root ganglion	Spinalganglion
spinal ganglion	Spinalganglion
pleura	Pleura|Brustfell
prorenoate potassium	Prorenoatkalium
power steering compressor	Lenkhilfspumpe|Hilfskrafteinrichtung der Lenkanlage
pentazocine	Pentazocin
after-care services	Fachambulanz zur Nachbetreuung
follow-up services	Fachambulanz zur Nachbetreuung
brain area	Hirnregion
pediatrician	Kinderarzt
paediatrician	Kinderarzt
ejaculate	Ejakulat
defatting	Entfettung
heparinized human blood	Heparinblut menschlichen Ursprungs
household sample survey	Haushaltsstichprobenuntersuchung
metabolized foodstuff	metabolisiertes Lebensmittel
embryo sac	Embryosack
risk of susceptibility to dental cary	Anfälligkeit für Zahnkaries
breeding of premature infants	Frühgeburtenaufzucht|Frühgeborenenaufzucht
skin disease	Hautkrankheit
fascioliasis	Leberegelseuche|Distomatose
liver-fluke disease	Leberegelseuche|Distomatose
distomatosis	Leberegelseuche|Distomatose
vagotonia	Vagotonie
non-glycerol fraction of the diluent	glyzerinfreie Fraktion des Verdünnungsmittels|glycerinfreie Fraktion des Verdünnungsmittels
uncrossed diplopia	Diplopia simplex|homonyme Diplopie|gleichseitige Diplopie|ungekreuzte Diplopie
homonymous diplopia	Diplopia simplex|homonyme Diplopie|gleichseitige Diplopie|ungekreuzte Diplopie
smokers'cough	Raucherbronchitis
upper airways	obere Atemwege
clinical attack rate	Anfallsrate
attack rate	Anfallsrate
incidence proportion	Anfallsrate
WSSV	White Spot Syndrom Virus|Cryptocarion irritans|WSSV|White Spot Virus
<i>White spot syndrome virus I</i>	White Spot Syndrom Virus|Cryptocarion irritans|WSSV|White Spot Virus
<i>White spot syndrome virus</i>	White Spot Syndrom Virus|Cryptocarion irritans|WSSV|White Spot Virus
hydroxycholesterol	Hydroxycholesterin
protection of the health of workers and the general public	Gesundheitsschutz der Bevölkerung und der Arbeitskräfte
hand-transmitted vibration	Hand-Arm-Schwingung
hamycin	Hamycin
Maffucci’s syndrome	Maffucci Syndrom|Maffucci-Kast Syndrom
lobe	Lobus|Lappen
Facilitation Council	ACT-A-Förderrat|Förderrat|Hochrangiger Förderrat
High Level Facilitation Council	ACT-A-Förderrat|Förderrat|Hochrangiger Förderrat
Access to COVID-19 Tools Accelerator Facilitation Council	ACT-A-Förderrat|Förderrat|Hochrangiger Förderrat
psychogenic	psychogenetisch|psychogen
psychogenetic	psychogenetisch|psychogen
human embryonic stem cell	menschliche embryonale Stammzelle
hESC	menschliche embryonale Stammzelle
fletazepam	Fletazepam
stibamine glucoside	Stibaminglucosid
ovarian endocrine secretion	endokrine Sekretion der Eierstöcke
clenoliximab	Clenoliximab
opposide-field therapy	Gegenfeldbestrahlungstherapie|Gegenfeldbestrahlung
protein efficiency ratio	Eiweißwertigkeit
PER	Eiweißwertigkeit
nephrostomy	Nephrostomie|Eroeffnung einer Niere
hypergeometric distribution	hypergeometrische Verteilung
induction period	Induktionszeit
theobromine	Theobromin
neuroblast	Ganglioblast|Neuroblast|Medulloblast
dietary component	Ernährungsbestandteil
hemoglobinuria	Hämoglobinurie
wire suture of a bone	Knochendrahtnaht
hearing loss for speech	Hoerverlust fuer Sprache
acetylcysteine	Acetylcystein
mycostatin	Mycostatin
cancer atrophicans	atrophisierender Krebs
postural defect	Haltungsfehler|Fehlhaltung
mitiglinide	Mitiglinid
blood flow measurement	Blutflussmessung
sub-population	Teilgesamtheit
closed stock	definierter Tierbestand
Stakeholder Consultative Platform	Konsultationsplattform der Interessengruppen|Konsultationsplattform der Interessenvertreter
kallidinogenase	Kallidinogenase
Probability value	p|Irrtumswahrscheinlichkeit|p-Wert
P value	p|Irrtumswahrscheinlichkeit|p-Wert
probit approach	Probit-Konzept
single-strand DNA binding protein	DNA-Einzelstrang-Fixierungsprotein
ssDNA binding protein	DNA-Einzelstrang-Fixierungsprotein
serum against pneumonia	Serum gegen Lungenentzuendung
piglet eczema	Ferkelruß
nilprazole	Nilprazol
Committee for implementation of the programme of Community action in the field of public health (2003-2008)	Ausschuss für die Durchführung des Aktionsprogramms der Gemeinschaft im Bereich der öffentlichen Gesundheit (2003-2008)
aerobic power	Saürstoffaufnahmefähigkeit
calorimetric dosemeter	kalorimetrisches Dosimeter
peritoneoscope	Endoskop zur Bauchhoehlenuntersuchung
sibrafiban	Sibrafiban
Programme of action of the European Communities against cancer	Aktionsprogramm der Europäischen Gemeinschaften gegen den Krebs
EUROPE AGAINST CANCER(ex EURESPOIR)	Aktionsprogramm der Europäischen Gemeinschaften gegen den Krebs
lactating woman	stillende Frau
breastfeeding woman	stillende Frau
abolition	Abolitionismus|Abolition
patient	Patient
RMR	Basalumsatz|Grundumsatz|Ruheumsatz
basal metabolic rate	Basalumsatz|Grundumsatz|Ruheumsatz
resting metabolic rate	Basalumsatz|Grundumsatz|Ruheumsatz
BMR	Basalumsatz|Grundumsatz|Ruheumsatz
Log-normal distribution	logarithmische Normalverteilung|log-normale Verteilung
eye drops	Augentropfen|Oculoguttae
ophthalmic drops	Augentropfen|Oculoguttae
pathological diagnosis	pathologische Diagnose
papaverine	Papaverin
chronic hepatitis	chronische Hepatitis
oxoprostol	Oxoprostol
phychomotor agitation	psychomotorische Erregtheit
vegetable virus	pflanzlicher Virus
operators foot stool	OP-Auftritt
dystaxia	Dystaxie
velocity of reextension	Geschwindigkeit von Wiederausdehnung
growth medium	Nährlösung|Nährboden|Nährmedium
'Group 4'biological agent	"biologischer Arbeitsstoff der ""Gruppe 4"""
sheltered workshop	geschützte Werkstatt|geschützte Werkstätte|WfB|Dauerwerkstätte|Werkstatt für behinderte Menschen|beschützende Werkstätte
Code	Welt-Anti-Doping-Kodex|WADA-Kodex
World Anti-Doping Code	Welt-Anti-Doping-Kodex|WADA-Kodex
psychopharmacology	Psychopharmakologie
sand blasting hood	Schutzhaube für Strahlerarbeiten
diagnostic radiographer	medisch-technischer Radiologieassistent|Radiologieassistent|Medizinischtechnischer
X-ray technician	medisch-technischer Radiologieassistent|Radiologieassistent|Medizinischtechnischer
radio therapy radiographer	medisch-technischer Radiologieassistent|Radiologieassistent|Medizinischtechnischer
officially tuberculosis-free	amtlich anerkannt tuberkulosefrei
established mechanistic link with cancer	nachgewiesene kausale Beziehung zu Krebs
compound solution of sodium lactate	Natriumlactatzusammensetzungslˆsung
corpus callosum	Schwielenkoerper|Balken|Corpus callosum
ECT	EST|Elektroschock-Therapie
EST	EST|Elektroschock-Therapie
electroconvulsive therapy	EST|Elektroschock-Therapie
electric shock therapy	EST|Elektroschock-Therapie
anticipation	Hochrechnung|Vorausberechnung|Extrapolation
primary liver cancer	primärer Leberkrebs
NF-KB transcription factor	NF-KB-Transkriptionsfaktor
nape	Genick|Nacken
sterility test	Prüfung auf Keimfreiheit
morazone	Morazon
tolpiprazole	Tolpiprazol
atrophogenic activity	atrophogene Wirkung
aerobactin	Aerobactin
primer binding groove	Primer-Bindungsfurche
cyclovalone	Cyclovalon
clinical pharmacology	klinische Pharmakologie
isotretinoin	Isotretinoin
mother antibodies	mütterliche Antikörper
antiretroviral	antiretrovirales Medikament|antiretroviral
antiretroviral medicine	antiretrovirales Medikament|antiretroviral
ARV	antiretrovirales Medikament|antiretroviral
antiretroviral agent	antiretrovirales Medikament|antiretroviral
antiretroviral drug	antiretrovirales Medikament|antiretroviral
methiomeprazine	Methiomeprazin
analgesic drug	analgetisches Arzneimittel
mazaticol	Mazaticol
haloperidol	Haloperidol
anti-BVD serum	Anti-BVD-Rinderserum
transposon mutagenesis	Transposon Mutagenesis
betamethasone acibutate	Betamethasonacibutat
DVI	DVI|Identifizierung von Katastrophenopfern
disaster victim identification	DVI|Identifizierung von Katastrophenopfern
dibromsalan	Dibromsalan
foetal position	Positio|Fruchtstellung|Stellung
fetal position	Positio|Fruchtstellung|Stellung
oestradiol-methylether	Östradiol-Methyläther
linezolid	Linezolid
battered child	mißhandeltes Kind
spectrum analysis	Frequenzanalyse
wave analysis	Frequenzanalyse
frequency analysis	Frequenzanalyse
anti-Rh agglutinin	anti-RH Agglutinin
metabolic disorder	Stoffwechselstörung
Pharmaceutical Group of the EU	Zusammenschluss der Apotheker der EU
adreno-cortical synthesis mechanism	adrenokortikales Synthesemechanismus
voluntary, unpaid blood donations	freiwillige und unentgeltliche Blutspende
MBI	MBI|medizinische und Bio-Informatik
medical and bio-informatics	MBI|medizinische und Bio-Informatik
contourography	Konturographie
side effect	UAW|unerwünschte Arzneimittelwirkung|Nebenwirkung
personal health care	personenbezogene Gesundheitsvorsorge
Beck-Ibrahim disease	Erythema mycoticum infantile|Beck Krankheit|Beck-Ibrahim Krankheit
Beck disease	Erythema mycoticum infantile|Beck Krankheit|Beck-Ibrahim Krankheit
lateral mammary artery	Arteria thoracica lateralis|Arteria thoracalis lateralis
viral replicative cycle	Vermehrungszyklus der Viren
pirogliride	Piroglirid
derris	Derris
tuba	Derris
alclometasone	Alclometason
bred animals	gezüchtete Tiere
arc of a circle	Kreisbogen|arc de cercle
sexual	geschlechtsdifferenziert
Ochsner instrument	Ochsner-Instrument
cytochrome P-450 reductase	Cytochrom P-450-Reduktase
gangrene	Brand
call at the patient's home	Hausbesuch
respiratory organ	Atmungsorgan
degenerative disease	degenerative Krankheit
lymphopoiesis	Lymphopoese
corrosion	Verätzung
plica	Plica|Falte
cyanosis	Zyanose
cyanoderma	Zyanose
cyanemia	Zyanose
Detection bias	Verzerrung durch selektive Entdeckung von Krankheitsfällen
bectumomab	Bectumomab
operator gene	Operatorgen
relevant exposure level	relevanter Expositionswert
auricular canal	Canalis atrioventricularis|Canalis auricularis|Ohrkanal|Isthmus atrioventricularis|Aurikularkanal
atrioventricular canal	Canalis atrioventricularis|Canalis auricularis|Ohrkanal|Isthmus atrioventricularis|Aurikularkanal
mammalian exogenous metabolic activation system	exogenes Säuger-Metabolisierungssystem
Gaffkaemia	Gaffkämie, Hälterungskrankheit
acromio-thoracic artery	Arteria thoraco-acromialis
Recommendation concerning Medical Care and Sickness Benefits	Empfehlung betreffend ärztliche Betreuung und Krankengeld
dressing holder	Verbandzeughalter
oxycodone	Oxycodon
urine	Urin|Harn
cranial neuritis	Hirnnervenneuralgie|Hirnnervenneuritis
compensatory fund for clerical staff	Ersatzkasse für Angestellte
safety goggles	Sicherheitsbrille
to relay chemical passages	chemisches Signalübertragung
static muscular endurance	isometrische Kontraktion|statische Muskelarbeit
anemic hypoxia	anämische Hypoxämie
cinpropazide	Cinpropazid
dalcotidine	Dalcotidin
bacampicillin	Bacampicillin
rejected veterinary medicinal product	zurückgewiesenes Tierarzneimittel
HW	Abfälle aus Krankenhäusern|Klinikabfall
hospital waste	Abfälle aus Krankenhäusern|Klinikabfall
glucametacin	Glucametacin
septic shock	septischer Schock
genetic resources centre	Zentrum für genetische Ressourcen
to distribute	verteilen
osteoclast	Osteoklast
close relationship	enge Blutsverwandtschaft
kindship	enge Blutsverwandtschaft
metastasis suppressor gene	Metastasierungs-Suppressor-Gen
olfactory bulb	Bulbus olfactorius|Riechkolben
hospital dyspepsia	Anstaltsdyspepsie
tone analysis	Klanganalyse
Mariners' Insurance Fund	Seekasse|Seekrankenkasse
do not induce vomiting	kein Erbrechen auslösen
anthrax	Milzbrand|Anthrax
nateglinide	Nateglinid
almokalant	Almokalant
European guide of medical care and treatment facilities	Europäischer Leitfaden für medizinische Versorgung und Behandlungseinrichtungen
dametralast	Dametralast
origin of an accident	Unfallentstehung
fosfonet sodium	Fosfonetnatrium
fludoxopone	Fludoxopon
tubal orifices	Tubenoeffnungen|Oeffnungen der Eustachischen Roehre
cromoglycate	Cromoglicinsäure
slimming drug	Abmagerungsmittel
local disease control centre	örtliches Seuchenbekämpfungszentrum
aetiological condition	ätiologischer Faktor
ethambutol	Ethambutol
homomorphic	homomorph
pentizidone	Pentizidon
hepatic scintigraphy	Leberszintigraphie
radialis indicis artery	Arteria radialis indicis|Arteria volaris indicis radialis
training	Aus- und Fortbildung
mean energy expended in a gas per ion pair formed	mittlerer Energieaufwand pro Ionenpaar in einem Gas|mittlerer Energieverlust eines geladenen Teilchens je erzeugtes Ionenpaar
average energy expended in a gas per ion pair formed	mittlerer Energieaufwand pro Ionenpaar in einem Gas|mittlerer Energieverlust eines geladenen Teilchens je erzeugtes Ionenpaar
balsalazide	Balsalazid
auditory sense	Hoersinn
bendazol	Bendazol
benderizine	Benderizin
test for the in vivo survival of red cells	In-vivo-Überlebenszeit roter Blutkörperchen
systematic use of mutual recognition	systematische Inanspruchnahme des Verfahrens zur gegenseitigen Anerkennung
globin	Globin
synovial	synovial|synovialis
hammer	Hammer|Malleus
acid-fast	säurefest
igovomab	Igovomab
blood film	Blutausstrich
iopydol	Iopydol
homoserine	Homoserin
diuretic	Diuretikum
sweep frequency test	Aussonderungsuntersuchung
body-image agnosia	Autotopagnosie
autotopagnosia	Autotopagnosie
