Pharmaceutical Strategy for Europe	Estrategia Farmacéutica para Europa
EU pharmaceutical strategy	Estrategia Farmacéutica para Europa
assumption	Asunción
noberastine	noberastina
deaths not reported	muertes no declaradas
tactile sensation	sensación táctil
circulating concentration	concentración circulante
antidepressants	antidepresores|antidepresivos
underdosage	posología insuficiente
under-dosing	posología insuficiente
primitive furrow	línea primitiva
primitive groove	línea primitiva
primitive streak	línea primitiva
burning mark	quemadura|marca
brand	quemadura|marca
burn	quemadura|marca
vibratory margin of the vocal folds	margen vibratorio de la cuerdas vocales
papaveroline	papaverolina
Alcohol consumption	Consumo de alcohol
ovariectomy	ovariectomía|ooforectomía|ovariotomía normal|castración|ootectomía
oophorectomy	ovariectomía|ooforectomía|ovariotomía normal|castración|ootectomía
substitution therapy	terapia de sustitucion
hydrocodone	hidrocodona
nutritional well-being	bienestar nutricional
fluorescent treponemal antibody-absorption test	prueba FTA-Abs|prueba de absorción de anticuerpos antitreponémicos fluorescentes
FTA-ABS test	prueba FTA-Abs|prueba de absorción de anticuerpos antitreponémicos fluorescentes
pasty	pastoso
cross-protection	inmunidad cruzada
cross-immunity	inmunidad cruzada
cistinexine	cistinexina
cytostatic agent	citostático
isonixin	isonixino
nifurmerone	nifurmerona
emepronium bromide	bromuro de emepronio
paralogy	paralogia
secondary attack rate	Tasa de ataque secundario
octreotide	octréotido
immunologic memory	memoria inmunitaria
immunological memory	memoria inmunitaria
suppository	supositorio
suppositorium	supositorio
leurubicin	leurubicina
Daraprim	pirimetamina
pyrimethamine	pirimetamina
decominol	decominol
AL 721	AL 721
partial sphyncterotomy	esfinterotomía parcial
before birth	prenatal
prenatal	prenatal
humanitarian buffer	reserva humanitaria
macrophobia	macrofobia
subcutaneous injection	inyeccion subcutanea|inyeccion hipodermica
hypodermic injection	inyeccion subcutanea|inyeccion hipodermica
loratadine	loratadina
viral enzyme	enzima vírica
enzyme of the virus	enzima vírica
vaccine protein	proteína vacunal
pinoxepin	pinoxepina
methazolamide	metazolamida
CoV	coronavirus|CoV
coronavirus	coronavirus|CoV
adjuvanticity	adyunvaticidad
initial evaluation	evaluación inicial
sulfamethizole	sulfametizol
tiospirone	tiospirona
gatekeeping	control de la derivación de pacientes|filtrado
talviraline	talviralina
intestinal absorptive efficiency	eficacia de la absorción intestinal
peptidyl-tRNA binding site	sitio P|centro peptidil
ascorbate	ascorbato
renal hypoplasia	hipoplasia renal
hypoplasia of kidney	hipoplasia renal
parotid space	celda parotídea
parotid bed	celda parotídea
fenprinast	fenprinast
bladder diverticulum	divertículo vesical
premature dentition	dentición precoz
bis-norbiotin	bis-norbiotina
sinophobia	sinofobia
cointervention	cointervención
ronactolol	ronactolol
mecillinam	mecilinam
optic	óptico
intestinal anthrax	carbunco intestinal|carbuncosis intestinal
seproxetine	seproxetina
carotid angiography	angiografía de la carótida|angiografía carotídea
iodecimol	iodecimol
orotate	orotato
6-carboxyluracil	orotato
anti-Rh agglutinin	aglutinina anti-Rh
homozygoty	homocigosis|homozigosis
vesicular lesion	lesión vesicular
maltworker's lung	neumonía de los trabajadores de la malta
malt worker's disease	neumonía de los trabajadores de la malta
malt worker's lung	neumonía de los trabajadores de la malta
contraception barrier	anticonceptivo de barrera|barrera anticonceptiva
minoxidil	minoxidil
hereditary disease	enfermedad hereditaria
colchicine	colchicina
anterior fontanelle	fontanela frontal|fontanela anterior
regulatory protein	proteína reguladora
neuronal circuit for motor control	circuito neuronal del control motor
danazol	danazol
carie	caries|caries dentaria
dental carie	caries|caries dentaria
weaning syndrome	síndrome de retirada|síndrome de privación
tenosal	tenosal
gyrase	girasa
phenactropinium chloride	cloruro de fenactropinio
immunological	inmunológico
procarbazine	procarbazina
terlakiren	terlakireno
levofuraltadone	levofuraltadona
tonsil	amígdala
vegansexual	veganosexual
glycopyrronium bromide	bromuro de glicopirronio
lymphocytotoxicity	linfocitotoxicidad
clinolamide	clinolamida
vesicovaginal fistula	fístula vesicovaginal
ventilator	ventilador pulmonar|respirador mecánico|respirador
mechanical ventilator	ventilador pulmonar|respirador mecánico|respirador
respiratory ventilator	ventilador pulmonar|respirador mecánico|respirador
lung ventilator	ventilador pulmonar|respirador mecánico|respirador
iconic memory	memoria icónica
soluble complexes	complejos solubles
biopsy of the cervix	biopsia de cuello uterino
lightheadedness	aturdimiento
otolaryngology	ORL
otorhinolaryngology	ORL
ENT medicine	ORL
ENT	ORL
ear, nose and throat	ORL
method for active surveillance	método de vigilancia activa
medical equipment	producto sanitario|dispositivo médico
medical device	producto sanitario|dispositivo médico
bolenol	bolenol
glucalox	glucalox
substandard medicinal product	producto médico de calidad subestándar
joint	articulación
technetium (99mTc) pintumomab	technetium (99mTc) pintumomab
pralidoxime iodide	ioduro de pralidoxima
intra-uterine asphyxia	asfixia intrauterina
buffalo hump	grasa dorsocervical|joroba de búfalo
saddle anaesthesia	anestesia en silla de montar
saddle anesthesia	anestesia en silla de montar
saddle block anaesthesia	anestesia en silla de montar
saddle block anesthesia	anestesia en silla de montar
podilfen	podilfeno
galvanofaradization	galvanofaradización
hip	cadera
palmidrol	palmidrol
enzymatic interconversion	interconversión enzimática
antelmycin	antelmicina
cellular suicide from lack of anchorage	suicidio celular debido a la pérdida de anclaje
reference pricing	sistema de precios de referencia
reference pricing system	sistema de precios de referencia
alletorphine	aletorfina
sulfametrole	sulfametrol
psicose	psicosa
powder	polvo
powdery substance	polvo
temporary deafness	fatiga auditiva|cansancio auditivo
acoustic fatigue	fatiga auditiva|cansancio auditivo
bemetizide	bemetizida
pre-organogenesis	preorganogénesis
denpidazone	denpidazona
acquired passive immunity	inmunidad pasiva|inmunidad artificial
passive immunity	inmunidad pasiva|inmunidad artificial
artificial immunity	inmunidad pasiva|inmunidad artificial
beta cell of the pancreas	célula beta del páncreas
nosiheptide	nosheptida
paroxetine	paroxetina
peptide hydrolase	hidrolasa peptídica
viral p24 antigenemia	antigenemia VIH|antigenemia viral p24
life-support chamber	cámara especial acondicionada para mantener las células vivas
atracurium besilate	besilato de atracurio
phase-contrast imaging	diagnóstico por secuencia de contraste de fase
indirect measurement	medida indirecta
betanidine	betanidina
fenclozic acid	ácido fenclózico
Predictive value of a positive test	Valor predictivo de un test positivo
lymphoproliferative disease	enfermedad linfoproliferativa
BIOACTIVE project	proyecto BIOACTIVE
primary autism	autismo primario
idiopathic autism	autismo primario
Chlamydia trachomatis bacterium	bacteria Chlamydia trachomatis
dextrinase	dextrinasa
ultrasound medical instrument	instrumento médico ultrasónico
hyperplasia of bronchus-associated lymphoid tissue	hiperplasia BALT
hyperplasia of BALT	hiperplasia BALT
bromofenofos	bromofenofós
pendecamaine	pendecamaína
NRT	neurorreflejoterapia|intervención neurorreflejoterápica
neuroreflexotherapy intervention	neurorreflejoterapia|intervención neurorreflejoterápica
neuroreflexotherapy	neurorreflejoterapia|intervención neurorreflejoterápica
disease	enfermedad
leukosarcoma	leucosarcoma
germ	germen
chlorazanil	clorazanilo
sparfloxacin	esparfloxacino
cytoplasmic gene	gen del citoplasma
overnutrition	hipernutrición|alimentación en exceso
naevo-xanthoendothelioma	xantogranuloma juvenil|fibroxantoma juvenil
5-HIAA	ácido 5-hidroxi-indolacético en orina|ácido 5 hidroxi-indol-acético en orina|ácido 5-hidroxi-indolácetico en la orina|ácido 5 HIA en la orina|ácido 5-hidroxiindolacético en orina|5-HIAA en orina
urinary 5-hydroxyindoleacetic acid	ácido 5-hidroxi-indolacético en orina|ácido 5 hidroxi-indol-acético en orina|ácido 5-hidroxi-indolácetico en la orina|ácido 5 HIA en la orina|ácido 5-hidroxiindolacético en orina|5-HIAA en orina
urine 5-hydroxyindoleacetic acid	ácido 5-hidroxi-indolacético en orina|ácido 5 hidroxi-indol-acético en orina|ácido 5-hidroxi-indolácetico en la orina|ácido 5 HIA en la orina|ácido 5-hidroxiindolacético en orina|5-HIAA en orina
rippling displacement	desplazamiento ondulatorio
acetryptine	acetriptina
cyclomethycaine	ciclometicaína
small cartilages of the ala	cartílagos alares menores
galamustine	galamustina
extrapyramidal damage	lesión extrapiramidal
Passavant's operation	operación de Passavant
direct incorporation method	método de incorporación directa
negative control with no added virus	control negativo sin adición de virus
drobuline	drobulina
feclemine	feclemina
sodium dehydrocholate	dehidrocolato sódico
ship's dispensary	farmacia de a bordo
dispensary on board a ship	farmacia de a bordo
ramipril	ramipril
associative change	cambio asociativo
PmRN	autoridades reguladoras de los medicamentos pediátricos
Paediatric medicines Regulators' Network	autoridades reguladoras de los medicamentos pediátricos
streptodornase	estreptodornasa
population as a whole	conjunto de la población
fissure	fisura
cetrorelix	cetrorelix
imoxiterol	imoxiterol
sulfapyrazole	sulfapirazol
cardiorespiratory depression	depresión cardiorrespiratoria|depresión cardiopulmonar
satranidazole	satranidazol
autoimmune	autoinmún
vector transmission	transmisión por vectores
seroconversion	seroconversión
dynamic muscular endurance	resistencia muscular dinámica
thread cutter	corta-hilos
sunagrel	sunagrel
cloridarol	cloridarol
skilled movements	destreza de movimientos
eprazinone	eprazinona
mechanism of sorting	mecanismo de ordenación
processing of speech sounds	procesamiento de los sonidos del habla
bromocriptine	bromocriptina
itanoxone	itanoxona
cetylpyridinium chloride	cloruro de cetilpiridinio
Parkinsonian patient	parkinsoniano|enfermo parkinsoniano
aureomycin	aureomycin
Health status index	Indice del estado de salud
cancer-related gene	gen relacionado con el cáncer
azosemide	azosemida
pholcodine	folcodina
tocophobia	tocofobia
atopy	atopia
anticarcinogen	anticarcinógeno
disease linked to the sex chromosome	enfermedad asociada al cromosoma sexual
X-ray test	examen con rayos X
X-ray examination	examen con rayos X
saterinone	saterinona
anterior perisylvian sector	sector perisilviano anterior
activity burst	ráfaga de actividad
retrograde cystography	uretrocistografía retrógrada
salmeterol	salmeterol
pannus	pannus|queratitis vascular
genetic amplification technique	tecnología de amplificación in vitro
giant cell interstitial pneumonitis	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
cobalt lung	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
GIP	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
hard-metal lung	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
hard-metal disease	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
HMLD	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
hard-metal lung disease	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
tungsten carbide pneumoconiosis	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
hard-metal pneumoconiosis	fibrosis pulmonar de los metales duros|neumoconiosis de los metales duros
genetic switch for viral growth	commutación genética controlando el desarrollo del virus
castanospermine	castanospermina
impulses fired by axons	potencial de acción de axones
dominant genetic disease	Enfermedad genética dominante
gold miner's disease	silicosis de los obreros de las minas de oro
gold dust complaint	silicosis de los obreros de las minas de oro
gold miner's phthisis	silicosis de los obreros de las minas de oro
poultry suspected of being contaminated	ave de corral sospechosa de estar contaminada
trifluomeprazine	trifluomeprazina
pivmecillinam	pivmecilinam
physiological alalia	alalia fisiológica
physiologic alalia	alalia fisiológica
direct fusion of membranes	fusión directa de las membranas
concept for attributes of entities	concepto que atañe a atributos
blastic phase	fase de aceleración blástica|fase blástica
propagated epithelioma	epitelioma que se ha propagado
decamethonium bromide	bromuro de decametonio
metacycline	metaciclina
day centre	centro de acogida de dia
mythophobia	mitofobia
dioxadilol	dioxadilol
vaginal dryness	sequedad vaginal
inactivity	inmovilidad|inactividad|indolencia
inertia	inmovilidad|inactividad|indolencia
colon	colón
etybenzatropine	etibenzatropina
azaftozine	azaftozina
Tapia's syndrome	síndrome de Tapia
clenpirin	clenpirina
tolrestat	tolrestat
stenbolone	estenbolona
quercetin	quercetina|quercetol|meletina
neurovascular bundle	haz neurovascular
television epilepsy	epilepsia televisual|epilepsia fotosensible
photosensitive epilepsy	epilepsia televisual|epilepsia fotosensible
ufenamate	ufenamato
theophylline	teofilina
tibeglisene	tibegliseno
meticrane	meticrano
itrocinonide	itrocinónida
molecular genomics	genómica molecular
human immunodeficiency	inmunodeficiencia|inmunodeficiencia humana
protein backbone	esqueleto de la proteina
scintigraphy	gammagrafía|escintigrafía|centellografía|cintigrafía
fluquazone	flucuazona
Proximate determinant of fertility	Determinante inmediato de fertilidad
nulliparous and non-pregnant female	hembra nulípara y no preñada
ormeloxifene	ormeloxifeno
carbon disulfide poisoning	sulfocarbonismo
broxuridine	broxuridina
vaginal ring	anillo vaginal|anillo anticonceptivo
intravaginal ring	anillo vaginal|anillo anticonceptivo
IVR	anillo vaginal|anillo anticonceptivo
V-ring	anillo vaginal|anillo anticonceptivo
shake	rajadura
therapeutic moiety	fracción terapéutica
active moiety	fracción terapéutica
enzyme degradation	degradación enzimatica
dinalin	dinalina
methylrosanilinium chloride	cloruro de metilrosanilina
safety factor	factor de seguridad|coeficiente de seguridad|FS|Factor de seguridad
SF	factor de seguridad|coeficiente de seguridad|FS|Factor de seguridad
formic acid	ácido fórmico
World AIDS Foundation	Fundación mundial contra el SIDA
ABO system	sistema ABO
lisofylline	lisofilina
thoracic surgery	cirugía torácica
montelukast	montelukast
pia mater	piamadre
synthesis direction	dirección de síntesis de una macromolécula
filenadol	filenadol
mutation per replication cycle	mutación por ciclo de replicación
patient with disease patterns of varying aetiology	enfermo que presenta una evolución patológica inestable de etiología variable
manual skill	habilidad manual
Survival analysis	Análisis de supervivencia
Multiple logistic model	Modelo logístico múltiple
batroxobin	batroxobina
hipoxia	hipoxia
EPAR summary	Resumen del EPAR
EPAR summary for the public	Resumen del EPAR
amphotericin B	amfotericina B
first aid	primeros auxilios|primeros auxilios médicos|socorrismo
medical first aid	primeros auxilios|primeros auxilios médicos|socorrismo
bamethan	bametán
Klenow fragment	fragmento de Klenow
Klenow enzyme	fragmento de Klenow
cefdaloxime	cefdaloxima
cronic inflammatory polyradiculoneuritis	polirradiculoneuritis inflamatoria crónica
anaestetic	anestésico
cloxypendyl	cloxipendilo
thesaurismosis	tesaurismosis
dermic corticosteroid	corticosteroide de aplicación local
CPE	ECP|efecto citopático
cytophatic effect	ECP|efecto citopático
cytopathological effect	ECP|efecto citopático
polyposis	poliposis
monatepil	monatepilo
phenoperidine	fenoperidina
idebenone	idebenona
monobenzone	monobenzona
dropper bottle	frasco cuentagotas
dropping bottle	frasco cuentagotas
pipette flask	frasco cuentagotas
accumulated dose	dosis acumulativa|dosis acumulada
cumulative absorbed dose	dosis acumulativa|dosis acumulada
cumulative dose	dosis acumulativa|dosis acumulada
total dose	dosis acumulativa|dosis acumulada
hypomania	hipomania
epinastine	epinastina
benzotript	benzotripto
auditory psychic area	área asociativa del córtex auditivo
tivirapine	tivirapina
cold expression	expresión en frío
cold pressing	expresión en frío
expression	expresión en frío
non-pathological genetic heritage	herencia genética no patológica
controlled area of increased contamination probability	zona controlada de probabilidad incrementada de contaminación
teflutixol	teflutixol
lofentanil	lofentanilo
phytonadiol sodium diphosphate	difosfato sódico de fitonadiol
amrubicin	amrubicina
iprocrolol	iprocrolol
cancrum	carcinoma|cáncer
ulcerative lesion	carcinoma|cáncer
abnormal cell growth	anomalía del crecimiento celular
petechial	petequial
iron dextran	dextrano de hierro
cometophobia	cometofobia
ipexidine	ipexidina
programme of Community action in the field of public health (2003-2008)	programa de acción comunitario en el ámbito de la salud pública (2003-2008)
programme of Community action in the field of public health	programa de acción comunitario en el ámbito de la salud pública (2003-2008)
delprostenate	delprostenato
crown cyst	quiste de la corona dentaria
opal	ópalo
filipin	filipina
glutethimide	glutetimida
maximum continuous power	potencia máxima continua
phenoxymethylpenicillin	fenoximetilpenicilina
psychotonic substances	sustancias psicotonicas
moodlifters	sustancias psicotonicas
protruding	prominente
prominent	prominente
expert advice	asesoramiento de expertos
fit	crisis|ataque|acceso
attack	crisis|ataque|acceso
access	crisis|ataque|acceso
inhibition test	prueba de inhibición
film-screen cassette	chasis de película-hoja de refuerzo antidifusor
perindopril	perindopril
papilloedema	edema papilar
papilledema	edema papilar
Measure of frequency	Medida de frecuencia
acronine	acronina
urinary steroid profile	esteroidograma urinario
interval summary tabulation	cuadro resumen de intervalos de exposición
Diego antigen	antígeno Diego
clomoxir	clomoxir
total loss	pérdidas totales
fetoplacental unit	unidad fetoplacentaria
zamifenacin	zamifenacina
occupational psychology	psicología profesional
euchromatic	eucromático
secondary prophylaxis	profilaxis secundaria
adipose	adiposo
isocromil	isocromilo
tingling sensation	sensación de hormigueo
sintropium bromide	bromuro de sintropio
iron deficiency anaemia of the newborn	anemia ferropénica del lactante
iron deficiency anemia of the newborn	anemia ferropénica del lactante
protriptyline	protriptilina
oral sensitivity	sensibilidad oral
tiopropamine	tiopropamina
atrophic gastritis	gastritis atrófica
deferoxamine	deferoxamina
Acquaintance network	Red de relaciones
clovoxamine	clovoxamina
cefoxitin	cefoxitina
fleroxacin	fleroxacino
clinprost	clinprost
calcification of soft tissues	calcificación de los tejidos blandos
dimetofrine	dimetofrina
thalamic cell	célula talámica
solvent drag mechanism	mecanismo de arrastre por solventes
secretin test	pruebas de secreción pancreática mediante intubación duodenal
evocation	evocación psíquica
sampirtine	sampirtina
osteodystrophy	osteodistrofia
levometiomeprazine	levometiomeprazina
mucoepidermoid carcinoma	carcinoma mucoepidermoide
keloid	queloide
iotetric acid	ácido iotétrico
procymate	procimato
allylestrenol	alilestrenol
sulfacecole	sulfacecol
rosterolone	rosterolona
special attention to minority communities	prestar una atención especial a los grupos minoritarios
mannanase	mananasa
cloranolol	cloranolol
agents acting against endoparasites	sustancias activas frenta a endoparásitos|sustancias activas frente a endoparásitos
amezinium metilsulfate	metilsulfato de amezinio
trecadrine	trecadrina
iron chelator	quelante del hierro
in-utero irradiation	irradiación in utero
Pomeroy type ligation	ligadura de tipo Pomeroy
Pomeroy type ligature	ligadura de tipo Pomeroy
palinmnemic recollection ability	capacidad mnemónica
recollection ability	capacidad mnemónica
functional colonic disease	colopatía funcional
stainable reticular iron	hierro reticular colorable
enofelast	enofelast
bio-material	material biocompatible
biomaterial	material biocompatible
biocompatible material	material biocompatible
bromebric acid	ácido bromébrico
acridorex	acridorex
sense organ function	función sensorial
colonoscopy	colonos copia
otitic barotrauma	otitis barotraumática
fruitarian	frutívoro|frugívoro
lactose bile broth	caldo lactosado con bilis
mepixanox	mepixanox
roentgenologist's cancer	cáncer de los radiólogos
fotretamine	fotretamina
to assign a meaning to the stimulus	atribuir un significado al estímulo
minolteparin sodium	minolteparina sódica
pivot with false stump	perno con falso muñón
gender selection	predeterminación del sexo
sex selection	predeterminación del sexo
foetal position	posición fetal
fetal position	posición fetal
nixylic acid	ácido nixílico
obliterative vascular disease	enfermedad vascular obliterante
invasive treatment intervention	tratamiento invasivo
invasive treatment	tratamiento invasivo
delayed neurotoxicity	neurotoxicidad retardada
navicular	enfermedad navicular
navicular disease	enfermedad navicular
infection with SARS-CoV-2	infección por SARS-CoV-2
COVID-19 infection	infección por SARS-CoV-2
radial artery	arteria radial
nonabine	nonabina
nisbuterol	nisbuterol
cyacetacide	ciacetacida
high grade	alto grado
high-grade	alto grado
azalanstat	azalanstat
nanomedicine	nanomedicina
hetacillin	hetacilina
cyclobutyrol	ciclobutirol
lipid apheresis	aféresis de lipoproteínas
buclizine	buclizina
low-copy number plasmid	plásmido de bajo número de copias
weak copy number plasmid	plásmido de bajo número de copias
flumequine	flumequina
zaltoprofen	zaltoprofeno
language phenomenon	fenómeno lingüístico
nicergoline	nicergolina
cetamolol	cetamolol
impact	impacto
Growth studies	Estudios sobre el crecimiento
manic	maníaco
class I MHC molecule	molécula de MHC de clase I
intracranial hypertension	hipertensión intracraneana
cerebral hypertension	hipertensión intracraneana
polyglycolic acid	ácido poliglicólico
balsamum peruvianum	balsamum peruvianum
hypertonia	hipertensión|hipertonía
enazadrem	enazadrem
dilmefone	dilmefona
pronetalol	pronetalol
nifurtimox	nifurtimox
Klinefelter syndrome	síndrome de Klinefelter|síndrome de ginecomastia-aspermatogénesis
Klinefelter's syndrome	síndrome de Klinefelter|síndrome de ginecomastia-aspermatogénesis
XXY syndrome	síndrome de Klinefelter|síndrome de ginecomastia-aspermatogénesis
mepyramine	mepiramina
inpatient	paciente hospitalizado
hospital inpatient	paciente hospitalizado
sentinel piglet	lechón testigo
guanethidine	guanetidina
emakalim	emakalim
Symmetrical relationship	Relación simétrica
normal pooled human plasma	mezcla de plasma humano normal
muscle fibre	fibra muscular
European self-sufficiency in blood products	autosuficiencia europea en el abastecimiento de productos derivados de la sangre
anti-rabies antibody	anticuerpo contra la rabia
obidoxime chloride	cloruro de obidoxima
asymptotic method	Método asintótico
large sample method	Método asintótico
Buffalopox virus(e)	virus Buffalopox(e)
ellagic acid	ácido elágico
macrolide	macrolido
causality	causalidad
quarantined	en cuarentena|cuarentena
in quarantine	en cuarentena|cuarentena
idioventricular rhythm	ritmo idioventricular
potential to degrade rapidly	potencial de rápida degradación
glunicate	glunicato
proxibutene	proxibuteno
ileostomy	ileostomía
fluoxetine	fluoxetina
hyperbilirubinaemia	hiperbilirrubinemia
pelvic bone	hueso ilíaco
European Society of Gene and Cell Therapy	Sociedad Europea de Terapia Génica y Celular
